,title,handle,created,product_type,price,sku,available,image
32,Digital Membership,digital-membership,2020-06-10T12:41:20-04:00,,215.89,us_all_access_12,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Digital-membership.png?v=1604593955
33,Digital Membership,digital-membership,2020-06-10T12:41:20-04:00,,10.00,us_all_access_01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Digital-membership.png?v=1604593955
34,Digital Membership,digital-membership,2020-06-10T12:41:20-04:00,,108.00,us_all_access_12,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Digital-membership.png?v=1604593955
35,Blood Pressure Monitor (A&D),blood-pressure-monitor,2020-03-12T15:15:17-04:00,Extras,59.99,BPMON-AND,True,https://cdn.shopify.com/s/files/1/1488/7742/products/andbpmonitor03.jpg?v=1604619399
36,SugarRx,diabetes-coaching-m-old,2020-02-24T09:54:17-05:00,Coaching,19.99,EXSUGAR01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Forecast-insights.png?v=1604594203
37,Diabetes Coaching & Education,diabetes-coaching-admin,2020-02-24T09:43:16-05:00,Coaching,39.99,EXTRCKXX,True,https://cdn.shopify.com/s/files/1/1488/7742/products/personalized-coaching-image_f70b6445-f71d-4162-b764-390765e492b0.jpg?v=1604593843
38,Glucose Meter Kit,glucose-meter-mmol,2020-02-04T15:25:36-05:00,Blood Glucose Monitoring System,49.99,CHRMUSMM,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-straight-CHRMUS25BR_ef83f044-5a93-40e8-a57d-14d14d882da7.png?v=1604593972
39,Glucose Meter Starter Kit,glucose-meter-subscribe-save,2020-01-29T12:06:45-05:00,Blood Glucose Monitoring System,49.99,CHRMUS25BR,True,https://cdn.shopify.com/s/files/1/1488/7742/products/ChromeKit-orange_9534f874-c36b-4f95-a038-58d87aaa7b70.jpg?v=1604594055
40,Test Strips,test-strips-old,2020-01-29T11:34:08-05:00,Glucose Test Strips,24.99,STPUS050,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_726b0039-1166-485e-a3ce-77750a1e81ec.png?v=1604594246
41,Test Strips,test-strips-old,2020-01-29T11:34:08-05:00,Glucose Test Strips,41.99,STPUS100Q,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_726b0039-1166-485e-a3ce-77750a1e81ec.png?v=1604594246
42,Test Strips,test-strips-old,2020-01-29T11:34:08-05:00,Glucose Test Strips,79.99,STPUS200Q,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_726b0039-1166-485e-a3ce-77750a1e81ec.png?v=1604594246
43,Test Strips,test-strips-old,2020-01-29T11:34:08-05:00,Glucose Test Strips,125.99,STPUS300Q,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_726b0039-1166-485e-a3ce-77750a1e81ec.png?v=1604594246
44,Test Strips,test-strips-old,2020-01-29T11:34:08-05:00,Glucose Test Strips,209.99,STPUSXXXQ,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_726b0039-1166-485e-a3ce-77750a1e81ec.png?v=1604594246
45,Pouch,pouch,2019-11-29T10:08:57-05:00,Extras,14.99,POUCH,True,https://cdn.shopify.com/s/files/1/1488/7742/products/one-droop-pouch.png?v=1604594195
46,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,24.99,STPUS050,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
47,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-1,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
48,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-2,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
49,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-3,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
50,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-4,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
51,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-5,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
52,Test Strips,subscribe-and-save-a,2020-01-29T11:33:52-05:00,Subscription,22.99,STPUS050-6,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips_2d037bde-d4bc-41fb-86cb-56220cc635b0.jpg?v=1604594241
53,Test Strips Plan,one-drop-plus-50a,2019-11-13T11:12:57-05:00,Subscription,269.95,STPUS050A,True,https://cdn.shopify.com/s/files/1/1488/7742/products/subscription-image03_d27f5335-fa60-438c-ab1c-82d974707008.jpg?v=1604593963
54,Monthly Test Strip Plan,one-drop-plus-50m,2019-11-13T11:12:36-05:00,Subscription,22.99,STPUS050M,True,https://cdn.shopify.com/s/files/1/1488/7742/products/710XkHWOSmL._SL1500.jpg?v=1604594094
55,Monthly Test Strip Plan,one-drop-premium-m,2019-11-08T16:58:24-05:00,Glucose Test Strips,79.99,STPUSXXXM,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips-unlimited_grande_grande_0f81f2a8-1131-430c-9fb0-be5bf024f621.png?v=1604594081
56,Lancets Subscription,one-drop-lancets-300m,2019-11-08T16:07:04-05:00,Subscription,32.99,LANUS300M,True,https://cdn.shopify.com/s/files/1/1488/7742/products/OneDrop-LancetBox-noBG_grande_grande_91a6071b-5fe4-45ed-a8b6-d715f39f951f.png?v=1604594063
57,Lancets Subscription,one-drop-lancets-100m,2019-11-08T16:06:56-05:00,Subscription,10.99,LANUS100M,True,https://cdn.shopify.com/s/files/1/1488/7742/products/OneDrop-LancetBox-noBG_grande_grande_grande_db78d83a-1722-4778-889b-6de7621a917f.png?v=1604594063
58,Monthly Test Strip Plan,one-drop-plus-300m,2019-11-08T16:06:19-05:00,Glucose Test Strips,119.99,STPUS300M,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips-unlimited_grande_grande_edde8467-a2f2-4388-9659-d4d119222bb9.png?v=1604594081
59,Monthly Test Strip Plan,one-drop-plus-200m,2019-11-08T16:06:31-05:00,Glucose Test Strips,59.99,STPUS200M,True,https://cdn.shopify.com/s/files/1/1488/7742/products/strips-unlimited_grande_grande_e96c325a-32a7-46fb-9c58-47c6f98eee90.png?v=1604594081
