SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
03/16/20,13.1215074,13.118445,13.05111516,0.95126838,1.24869496
03/17/20,14.30466852,13.6437217,13.53616137,1.75228544,2.58742319
03/18/20,15.56658052,15.4316053,15.14172125,1.48579888,1.92599455
03/19/20,12.12049713,11.9953715,12.03123947,0.76843751,1.19316274
03/20/20,12.72133977,12.6302709,12.74153334,0.60542375,0.86076909
03/21/20,12.71411361,12.5126518,12.64523202,1.03687261,1.39115527
03/22/20,9.72417309,9.42190903,9.79472386,1.40031544,1.86296789
03/23/20,13.90317698,13.1159812,12.77905163,1.73167706,1.88132979
03/24/20,13.65908924,13.6738692,13.53558948,0.51709088,0.68164136
03/25/20,10.33139993,11.3059736,11.35532128,1.90445607,2.10068459
03/26/20,13.5481556,13.3869607,12.988933,0.86250156,1.15842948
03/27/20,14.42349728,14.2738604,14.61622824,0.93867486,1.63833174
03/28/20,11.10027973,10.7392369,10.72068257,1.27550653,1.88717818
03/29/20,12.36166608,13.317641123,13.36948985,2.158706557,2.70759959
03/30/20,15.85597274,15.6749325,14.82086034,1.40859778,1.95740178
03/31/20,14.4367252,14.5557747,14.30862725,1.1476539,1.65591843
04/01/20,18.70759592,18.2847429,18.06492327,2.04826484,2.52654671
04/02/20,15.81058227,15.9077261,15.80751902,0.62764423,0.90028799
04/03/20,9.47476118,10.2552681,10.31142587,2.40459014,2.74157725
04/04/20,-2.19810705,6.747826044,-6.89844873,10.121373452,19.19619036
04/05/20,9.84949586,11.424906422,10.18851558,2.363619682,2.82928186
04/06/20,18.51557165,16.8902907,15.77689509,3.19461113,4.57693206
04/07/20,14.5671379,14.208112,14.60034693,1.52159682,2.02640855
04/08/20,11.24580559,11.4309502,11.53735645,0.75698229,1.01442128
04/09/20,13.84073935,13.8985358,13.85212936,1.05630445,1.21078337
04/10/20,4.39673997,6.23692946,6.03835544,4.81945269,4.53533033
04/11/20,1.9790618,8.850081352,0.68760181,8.18118798,13.38954521
04/12/20,14.65053947,14.4307803,13.10575839,2.53076315,2.89212336
04/13/20,14.70157301,13.50387821,13.79776345,2.44891108,3.9300445
04/14/20,9.76840452,9.89319405,9.38657964,2.47871233,2.68846184
04/15/20,7.61531103,8.54857355,8.604969,2.09017282,2.64527919
04/16/20,5.41198666,7.50832968,8.48186522,3.4223004,4.06602376
04/17/20,11.1227538,10.8496961,10.98217438,1.06629586,1.16493598
04/18/20,14.2435675,14.006966,14.03880152,1.46656864,1.6958179
04/19/20,4.20204363,5.746980921,5.32675253,2.684973159,2.82240672
